"",name,region,variety,rating,notes
4117,Benjamin Romeo Contador 2008,"Rioja, Spain",Red Wine,98,"Benjamin Romeo was the winemaker at the iconic Rioja winery Artadi. After 15 years there, he started Contador, his own personal project, also in the Rioja Alavesa. There he very quickly received international recognition when his 2004 vintage Contador Cuvee was awarded 100 points from The Wine Advocate. Benjamin Romeo's Contador is one of only two Spanish wines ever to receive consecutive 100 point ratings from Robert Parker. The only other wine to achieve a perfect rating is another Eric Solomon Selection, Clos Erasmus, made by Daphne Glorian. Benjamin Romeo's bodega (warehouse) is located at the foot of a clock tower, pictured on the label for Contador. "
4121,Benjamin Romeo Contador (3 Liter Bottle) 2001,"Rioja, Spain",Red Wine,98,Contador is bright and deep garnet in color. Very ripe redand black fruit on the nose overlaid with mineral and herbaltouches reminiscent of aromatic plants which live alongside thevines in our most select vineyards. Notes of high quality wood anddark burnt caramel. Full and smooth in the mouth at first. This isfollowed by a good level of tannin and a refined mouth-wateringfreshness. The finish is long and pleasant.
4122,Benjamin Romeo La Cueva del Contador 2004,"Rioja, Spain",Red Wine,97,"""The 2004 La Cueva del Contador is purple-colored with a splendid nose of espresso roast, scorched earth, black currants, blueberry and chocolate. On the palate the wine is supple and somehow manages to be elegant despite its layers of red and black fruits and extract. Rich and amazingly long, this wine will evolve for a decade and drink well for another 35-40 years."""
4125,Benjamin Romeo La Vina de Andres Romeo 2004,"Rioja, Spain",Red Wine,98,"""There are a mere 200 bottles of the 2004 La Vina de Andres Romeo. This wine is tightly wound and remains an infant developmentally. Nevertheless, all the ingredients for greatness are present but it will take a decade of cellaring for them to be full expressed. This sensational effort should easily drink well for 40-50 years like a great first growth Bordeaux."""
4392,Beringer Nightingale Semillon-Sauvignon Blanc (375ML) 2003,"Napa Valley, California",Collectible,97,"This very special wine offers a golden hue and features aromas of apricot preserve, creme brulee and honey. Rich flavors of butterscotch, stone fruit and spice coat the mouth and linger for a long, luxurious finish. Whether paired with a cheese course or rich dessert, Nightingale is a wonderful way to end a meal."
4417,Beringer Private Reserve Cabernet Sauvignon 2001,"Napa Valley, California",Red Wine,97,"I love the individual expression of terroir in single-vineyard wines, but the opulence, power and grace of Beringer's Private Reserve can only be achieved by blending. Each of our Napa Valley Vineyards, with its own distinct soil, climate and terrain, has specific character that is elevated in the Private Reserves. It's this mosaic of single-vineyards that creates wines of uncommon richness, complexity and concentration."
4638,Betz Family Winery La Cote Patriarche Syrah 2014,"Yakima Valley, Columbia Valley, Washington",Red Wine,98,"The 2014 La Cote Patriarche shows the wine's hallmark traits: a deep black-magenta color, a palate of vibrant blue fruits and subtle aromatic notes of thyme and lavender. For the second season in a row, 500 liter barrels were used to maintain fresh fruit character and lower oak influence. The new concrete fermentation vessels lend roundness to the blend and length to the finish. The result is a brooding and youthful La Cote Patriarche with superb structural integration and fine texture."
4665,Bevan Cellars De Crescenzo/Tench The Impetus 2014,California,Red Wine,97,"The 2014 Impetus is Cabernet Franc from the DeCrescenzo Estate Vineyard and Cabernet Sauvignon from the Tench Vineyard. This is Bevan Cellars' darkest wine in 2014. The Cabernet Franc core is a black hole, which seems to suck light from the air. Dark roasted coffee, anise and spice mingle with the fruit flavors of the Cabernet Sauvignon to give the wine amazing complexity."
4667,Bevan Cellars Harbison Vineyard Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,99,"The Harbison Cabernet Sauvignon also has great power and intensity that makes for a rock star wine. The plum, cherry and berry flavors bombard you, and then the acidity cleans up the palate and carries a long finish that lasts for almost a minute."
4674,Bevan Cellars Proprietary Red EE Tench Vineyard 2016,"Oakville, Napa Valley, California",Red Wine,98,"The 2016 EE Red Blend combines Cabernet Sauvignon, Cabernet Franc, and Merlot. It has a higher percentage of Cabernet Sauvignon than ever before making it even livelier than the 2013 EE, a vintage which produced some of our most massive wines. The Cabernet Franc provides an amazing violet quality and the Merlot adds a little extra richness. The result is luxurious, intense dark fruit. "
4678,Bevan Cellars Sugarloaf Mountain 2015,"Napa Valley, California",Red Wine,98,"Sugarloaf Mountain Proprietary Red Wine can be described in one word: consistent. Vintage to vintage, the wines are very similar, offering notes of cocoa, espresso, flowers and blackberry. The wine is super round and complex with an incredible finish."
4679,Bevan Cellars Sugarloaf Mountain 2016,"Napa Valley, California",Red Wine,97,"The 2016 Sugarloaf is better than any of the previous vintages. Drop the mic, walk off. Good night. "
4682,Bevan Cellars Tench Vineyard Cabernet Sauvignon 2016,"Oakville, Napa Valley, California",Red Wine,97,Tench Vineyard Cabernet Sauvignon has massive blue fruit qualities. The textures are pure Tench: massive and lively.
4775,Bila-Haut by Michel Chapoutier Occultum Lapidem 2013,"Languedoc, South of France, France",Red Wine,97,"The Occultum Lapidem displays great dark garnet-red color in the glass. The nose is laden with aromas of black fruits, pepper, leather and graphite with hints of shrubs. On the palate, the fleshy quality of the wine is apparent straightaway from the attack. Rich and dense, the wine finishes with balance of fruit and delicate tannins.  "
4943,Blandy's Bual Madeira 1920,Portugal,Collectible,97,"Golden color with golden green tinges at the rim. Intense, exuberant and concentrated bouquet of dried fruits with an aroma of licorice. Notes of wood, toffee and vanilla. Luxurious long finish of dried fruits, spices and tobacco."
4955,Blankiet Paradise Hills Cabernet Sauvignon (1.5 liter) 2002,"Napa Valley, California",Red Wine,98,This wine is sheer power in a silk glove.
4957,Blankiet Paradise Hills Cabernet Sauvignon 2002,"Napa Valley, California",Red Wine,98,"The vineyards, known as Paradise Hills, are stunningly beautiful with gorgeous views of the valley. These Cabernet Sauvignon grapes are  planted on volcanic soil."
4966,Blankiet Paradise Hills Vineyard Proprietary Red 2013,"Yountville, Napa Valley, California",Red Wine,98,"Our Bordeaux Medoc blend of predominantly Cabernet Sauvignon with Merlot, Cabernet Franc and Petit Verdot. This wine is sheer power in a silk glove."
4967,Blankiet Rive Droite Paradise Hills 2012,"Yountville, Napa Valley, California",Red Wine,99,Bordeaux Right Bank style wine. Merlot with a touch of Cabernet Franc. This wine is gorgeously fruit forward with a core of minerality.
5328,Bodegas El Nido El Nido 2004,"Jumilla, Spain",Red Wine,99,"""The consulting winemaker at Bodegas El Nido is Chris Ringland of Barossa Valley fame. Amazingly, the 2004 El Nido is even better. It is 70% Cabernet Sauvignon and 30% Monastrell sourced from the same vineyards as its sibling but from the tenderloin portions, and it received the same oak treatment. Similar in color, the nose offers a beautiful perfume of pain grille, vanilla, forest floor, black currant, and blackberry liqueur. The wine is more elegant on the palate with a velvety texture, layers of spicy black fruits, and great depth and balance. It admirably marries elegance and power. Cellar this fabulous wine for 3-4 years and drink it over the following 10-15."" - The Wine Advocate"
5329,Bodegas El Nido El Nido 2005,"Jumilla, Spain",Red Wine,98,"""Opaque violet. Seductively perfumed bouquet of red and dark berry liqueur, graphite, Asian spices and incense. This saturates every nook and cranny of the palate with flavors of sweet raspberry, boysenberry, candied licorice, cinnamon and vanilla. Impressively fresh for such flavor impact, thanks to gentle tannins and vibrant finishing minerality. A lingering, subtle strawberry quality underscores this wine's impression of elegance over brute force."""
5330,Bodegas El Nido El Nido 2006,"Jumilla, Spain",Red Wine,97,"This red is jam packed with blackberry, black cherry, plum, blueberry, creme de cassis, tobacco, leather, minerals and oak. Powerful, yet refined and well-balanced. "
5812,Bodegas Vega Sicilia Unico Tinto 1998,"Ribera del Duero, Spain",Red Wine,98,"It comes from the oldest vines on the property and in its composition, in addition to tempranillo are cabernet sauvignon and merlot.  Although it is old, it maintains as a lively red wine.  It has an intense ripe cherry color.  Hints of toasted wood notes. "
6088,Bond Melbury (1.5 Liter Magnum) 2013,"Napa Valley, California",Red Wine,97,"The name Melbury is in homage to an historic area in London, where the estate owners reside much of the year. Since its debut with the 1999 vintage, the consistent hallmarks of Melbury have been plush red fruits (currants, bing cherries), redolent with spice and the scent of violets. Elegance and a supple texture define the structure of this wine. The particular exposition of this rocky 7-acre hillside vineyard is southerly overlooking Lake Hennessey, allowing the vines to capture the morning sun yet moderating afternoon temperatures."
6098,Bond Melbury 2013,"Napa Valley, California",Red Wine,97,"The name Melbury is in homage to an historic area in London, where the estate owners reside much of the year. Since its debut with the 1999 vintage, the consistent hallmarks of Melbury have been plush red fruits (currants, bing cherries), redolent with spice and the scent of violets. Elegance and a supple texture define the structure of this wine. The particular exposition of this rocky 7-acre hillside vineyard is southerly overlooking Lake Hennessey, allowing the vines to capture the morning sun yet moderating afternoon temperatures."
